字段1_文本,字段1_链接,字段2,字段3,字段4,字段5_文本,字段5_链接,字段6
中信证券：短暂波动提供调增仓的良机 继续坚守成长洼地,http://stock.eastmoney.com/a/202302192640650493.html,2023-02-19 18:06:10 - ,人民币兑美元的在岸和离岸汇率均回落至6.87附近。基本面相对优势是外资增配A股的主导因素，一致预期显示，2023年沪深300EPS增速14%，明显高于标普500的2%，沪深300%动态估值所处的分位在全球主要指数对比中也偏低，且相比内资，近期外资的心态和流入更稳定。国内方面，近期银行间市场流动性阶段性紧张,沪深300,http://stock.eastmoney.com/a/202302192640650493.html,http://stock.eastmoney.com/a/202302192640650493.html,
A股震荡调整提供买入良机？投资主线有哪些？十大券商策略来了,http://finance.eastmoney.com/a/202302122634144810.html,2023-02-13 00:09:55 - ,对比历史牛市初期第一波上涨，本次上涨时空尚有差距。我们回顾四次牛市初期的第一波上涨，上证综指最大涨幅均值为27%(22年10月至今最大涨幅为15%，下同)，沪深300为31%(22%)，时间持续3-4个月(本轮至今持续3.4个月)。 短期行业或均衡，着眼全年成长更强，尤其是数字经济代表的TMT、新能源结构性亮点、医药,沪深300,http://finance.eastmoney.com/a/202302122634144810.html,http://finance.eastmoney.com/a/202302122634144810.html,
ETF正给出重要信号！赛道类ETF大举吸金 军工、半导体芯片等最受追捧,http://finance.eastmoney.com/a/202301162614876827.html,2023-01-16 19:35:59 - ,华夏基金和嘉实基金旗下2只沪深300ETF在上周净流入额居前，华夏沪深300ETF净流入11.64亿元，嘉实沪深300ETF净流入6.4亿元。不过，目前市场上有多只跟踪沪深300指数的ETF产品，数据显示，这些产品在上周合计净流出5.99亿元，其中，华泰柏瑞沪深300ETF在上周净流出19,沪深300,http://finance.eastmoney.com/a/202301162614876827.html,http://finance.eastmoney.com/a/202301162614876827.html,
十大机构论市：牛市第一波未完 把握配置良机,http://finance.eastmoney.com/a/202302192640615634.html,2023-02-19 18:00:11 - ,对比历史四次牛市初期的第一波上涨，宽基指数涨幅在30%附近，时间平均持续3-4个月，而22年10月底至今(截至2023/02/17，下同)上证综指最大涨幅15%、沪深300涨22%，上涨持续约3个月，上涨时空相较历史尚有差距；若以创业板指为例，12-15年、19-21年两次牛市的第一波上涨，创业板指平均涨幅更高达53%(本轮至今最大涨幅仅为19%),沪深300,http://finance.eastmoney.com/a/202302192640615634.html,http://finance.eastmoney.com/a/202302192640615634.html,
主力资金 | 仅两大行业获主力逆市加仓 行业龙头获机构游资等多路资金看好,http://finance.eastmoney.com/a/202302222643878220.html,2023-02-22 18:43:09 - ,净流入金额分别为4.21亿元、1.47亿元。 证券时报·数据宝统计，今日沪深两市主力资金净流出188.21亿元，其中创业板净流出44.62亿元，沪深300成份股净流出77.88亿元。 申万一级行业中，今日8个行业上涨，轻工制造、农林牧渔、国防军工涨幅居前。23个下跌行业中，3个行业跌超1%,沪深300,http://finance.eastmoney.com/a/202302222643878220.html,http://finance.eastmoney.com/a/202302222643878220.html,
说好的春季躁动行情呢？结果近百亿资金借ETF离场 半导体、芯片仍被机构看好,http://finance.eastmoney.com/a/202302112634039237.html,2023-02-11 14:34:12 - ,本周主要股指以及相关ETF表现 本周主要股指集体调整，创业板指、上证50、科创50、沪深300和中证500分别下跌了1.35%、1.01%、0.9%、0.85%和0.15%。 在跟踪主要指数方面，本周5只主要指数ETF份额增减互现，中证500ETF、沪深300ETF和创业板ETF分别减少了10.84亿份、7.24亿份和0,沪深300,http://finance.eastmoney.com/a/202302112634039237.html,http://finance.eastmoney.com/a/202302112634039237.html,
持仓翻倍？2500亿杀入 狂买这些龙头,http://finance.eastmoney.com/a/202302222643888970.html,2023-02-22 19:14:40 - ,此前大摩同样提高过MSCI中国指数点位，由59点调高至70点，并且将MSCI中国长期以来给予“与大市同步”调高至“增持”评级。此外，大摩还将沪深300指数由4140点上调至4350点。 而在昨日高盛举行的全球宏观论坛上，高盛中国首席股票策略分析师刘劲津近日表示，疫情政策优化后的中国A股市场,沪深300,http://finance.eastmoney.com/a/202302222643888970.html,http://finance.eastmoney.com/a/202302222643888970.html,
瑞信：预计今年恒生指数、沪深300等均存在20%以上上涨空间,http://finance.eastmoney.com/a/202301082607794312.html,2023-01-08 09:07:48 - ,截至2022年10月底，MSCI中国指数、恒生指数、沪深300指数分别下跌42.3%、37.2%、29%，表现差于标普500指数(同期下跌18.8%)。进入11月后，多个政策拐点提振了市场信心，截至12月19日，MSCI中国指数、恒生指数、沪深300指数跌幅分别收窄至23.3%、17.3%、21,沪深300,http://finance.eastmoney.com/a/202301082607794312.html,http://finance.eastmoney.com/a/202301082607794312.html,沪深300
【期货市场资金流向】20230222,http://futures.eastmoney.com/a/202302222644677338.html,2023-02-22 16:05:23 - ,期货市场保证金流入/流出前十名(单位亿) 期货市场活跃度排名前十名(成交量/持仓量) 期货市场30日波动率前十名 相关说明 1、期货板块构成： 股指：沪深300，上证50，中证500。 国债：10年期国债，5年期国债，2年期国债。 有色金属：铝，镍，铅，锡，锌，铜，国际铜。 黑色版块：硅铁,沪深300,http://futures.eastmoney.com/a/202302222644677338.html,http://futures.eastmoney.com/a/202302222644677338.html,
历经震荡市考验 嘉实旗下产品优势渐显,http://fund.eastmoney.com/a/202302222643653075.html,2023-02-22 14:31:58 - ,无论是权益还是固收市场均经历了宽幅调整，投资难度不断升级。不过，这也成为基金公司投研能力的“试金石”。统计数据显示，截至2023年2月19日，在近一年沪深300指数下跌13.26%的背景下，嘉实基金旗下包括股票、混合、债券、货币和海外QDII产品共计98只基金(A/C分开计算)业绩在二级分类排名中位居同类基金前1/4,沪深300,http://fund.eastmoney.com/a/202302222643653075.html,http://fund.eastmoney.com/a/202302222643653075.html,
四大期指22日午盘走势分化 IC、IM上涨,http://futures.eastmoney.com/a/202302222643563214.html,2023-02-22 12:09:04 - ,中证网讯(记者马爽)2月22日，四大期指午盘走势分化。文华财经数据显示，截至11:30，沪深300期指主力合约IF2303报4125.4点，跌0.38%；上证50期指主力合约IH2303报2791.0点，跌0.53%；中证500期指主力合约IC2303报6360.6点，涨0.17%,沪深300,http://futures.eastmoney.com/a/202302222643563214.html,http://futures.eastmoney.com/a/202302222643563214.html,
“日光基”再现！多只增强ETF提前结束募集,http://stock.eastmoney.com/a/202302112634011681.html,2023-02-11 08:00:31 - ,目前已经成立的达到15只、正在发行的为1只，而获得批文但暂时没有进入发行的达到2只。 从目前来看，目前指数增强ETF跟踪标的越来越多，从开始跟踪沪深300、中证500等，后来逐渐扩展到创业板指、中证1000、科创50、双创50等指数。其中招商、华泰柏瑞、鹏华、南方、国泰、富国、博时等布局这类产品较多,沪深300,http://stock.eastmoney.com/a/202302112634011681.html,http://stock.eastmoney.com/a/202302112634011681.html,
四大期指22日均低开,http://futures.eastmoney.com/a/202302222643471333.html,2023-02-22 10:21:01 - ,中证网讯(记者马爽)2月22日，四大期指均低开。文华财经数据显示，截至9:30，沪深300期指主力合约IF2303报4131.0点，跌0.25%；上证50期指主力合约IH2303报2799.6点，跌0.23%；中证500期指主力合约IC2303报6335.0点，跌0.23%；中证1000期指主力合约IM2303报6916,沪深300,http://futures.eastmoney.com/a/202302222643471333.html,http://futures.eastmoney.com/a/202302222643471333.html,
ETF人事变更|广发基金多只ETF产品基金经理变更,http://fund.eastmoney.com/a/202302222643654198.html,2023-02-22 10:28:58 - ,广发中证原材料ETF(159944)、广发中证全指可选消费ETF(159936)发布公告，基金经理夏浩洋因工作安排离任，由该基金共同管理的基金经理姚曦管理。 此外，广发沪深300ETF(510360)发布公告，基金经理刘杰离任，由基金经理霍华明管理。资料显示，霍华明目前管理基金资产总规模347亿元。（文章来源：每日经济新闻）,沪深300,http://fund.eastmoney.com/a/202302222643654198.html,http://fund.eastmoney.com/a/202302222643654198.html,
价值VS成长 基金经理激辩市场风格切换,http://fund.eastmoney.com/a/202302222643486998.html,2023-02-22 10:37:01 - ,大金融板块领涨两市，资金偏好大盘股。今年以来，中小盘股的表现明显好于大盘股，以中小市值公司为主要成分股的中证1000和国证2000等指数涨幅高于沪深300、上证50等以大盘股为主要成分股的指数。对于接下来市场风格将怎样演绎，基金经理的观点出现了一定分歧，多家机构在谈及今年投资主线时，均提到要均衡布局,沪深300,http://fund.eastmoney.com/a/202302222643486998.html,http://fund.eastmoney.com/a/202302222643486998.html,
中生代实力战将钱亚婷担纲 中欧中证1000指数增强即将发行,http://fund.eastmoney.com/a/202302222643593772.html,2023-02-22 13:19:02 - ,且与沪深300等主流宽基指数关联度较低，是投资者在权益资产配置结构优化过程中，值得关注的选择。 数据显示，中证1000指数具有高增长、高弹性、高波动的“三高”特征。截至2022年12月31日，该指数自基日以来涨幅达528.16%，年化波动率为31.85%，同期沪深300的累计收益率和年化波动率分别为285,沪深300,http://fund.eastmoney.com/a/202302222643593772.html,http://fund.eastmoney.com/a/202302222643593772.html,
主力资金青睐这5大概念板块,http://finance.eastmoney.com/a/202302132634726629.html,2023-02-13 10:33:12 - ,截至北京时间10:30，上证指数报3268.90点，涨0.25%，深证成指报12045.98点，涨0.58%，沪深300报4114.81点，涨0.21%，创业板指报2562.22点，涨0.67%（文章来源：每日经济新闻）,沪深300,http://finance.eastmoney.com/a/202302132634726629.html,http://finance.eastmoney.com/a/202302132634726629.html,
突然哑火！最火爆中小盘明显回调 后市咋走？机构最新解读,http://finance.eastmoney.com/a/202302192640579566.html,2023-02-19 00:05:33 - ,相对高配医药、机械、计算机等热门行业。 天风证券表示，近期成长行业的交易拥挤度继续上升，春节后市场风格正在从大盘价值股向中小盘成长股轮动。 今年以来代表大市值公司的沪深300上涨 4.21%，明显跑输代表中小市值的中证1000。 从背后原因来看，招商证券认为，不同的资金面宽松程度对于大盘股与小盘股的表现存在着较为明显的区别,沪深300,http://finance.eastmoney.com/a/202302192640579566.html,http://finance.eastmoney.com/a/202302192640579566.html,
每经操盘必知（下午版）丨沪指失守3300点，北向资金净卖出超47亿元；11家银行理财子公司1月规模续降8300亿,http://finance.eastmoney.com/a/202302222643696625.html,2023-02-22 15:33:41 - ,报收11900.12点，成交额4628.32亿元；创业板指收盘下跌17.91点，跌幅为0.73%，报收2451.9点，成交额1676.37亿元；沪深300收盘下跌37.4点，跌幅为0.9%，报收4106.95点，成交额1915.86亿元。 个股跌多涨少，两市超2400只个股下跌。沪深两市今日成交额7833亿,沪深300,http://finance.eastmoney.com/a/202302222643696625.html,http://finance.eastmoney.com/a/202302222643696625.html,
兴证期货研发中心早评20230222,http://futures.eastmoney.com/a/202302222643745137.html,2023-02-22 14:07:40 - ,兴证早评【金融】 兴证股指期货：沪深300当月合约IF2303报收4149.4点，上涨0.28%，成交830.19亿元；上证50当月合约IH2303报收2812.8点，上涨0.67%，成交434.1亿元；中证500当月合约IC2303报收6355点，上涨0.5%，成交642,沪深300,http://futures.eastmoney.com/a/202302222643745137.html,http://futures.eastmoney.com/a/202302222643745137.html,
市场变幻莫测 如何结合市场做好资产配置与仓位管理？,http://fund.eastmoney.com/a/202302222643158935.html,2023-02-22 08:17:56 - ,如果将资产配置设定为经典的“50%股+50%债”， 以沪深300指数代表股票类资产、中证全债指数代表债券类资产，不考虑交易成本，从15年到22年策略的回测情况如下： (来源：Wind，回测期限2004.12.31-2022.12.31.本次回测以沪深300指数代表股票类资产、中证全债指数代表债券类资产,沪深300,http://fund.eastmoney.com/a/202302222643158935.html,http://fund.eastmoney.com/a/202302222643158935.html,
外资再唱多！贝莱德：高通胀恐令美联储更激进加息 建议超配中国股票,http://finance.eastmoney.com/a/202302222643469429.html,2023-02-22 10:18:48 - ,该机构表示，由于中国强劲重启、新兴市场利率周期见顶以及美元普遍走软，其更青睐新兴市场，而非美国股票。 年初迄今，中国基准股指沪深300指数已经攀升了7%，超过美国基准股指标普500指数4%的涨幅。 外资集体唱多中国 近期，看涨中国股票的声音不绝于耳。 高盛策略师本周早些时候表示,沪深300,http://finance.eastmoney.com/a/202302222643469429.html,http://finance.eastmoney.com/a/202302222643469429.html,
私募销售回暖 部分渠道现“秒光”产品,http://finance.eastmoney.com/a/202302152636347251.html,2023-02-15 07:26:19 - ,多个方面的积极变化让中国境内外上市公司的估值锚重新有了着陆点。” 去年11月到今年1月，明星私募淡水泉旗下的淡水泉成长策略累计上涨31.2%，平衡策略上涨25.46%，同期沪深300指数上涨18.47%。 淡水泉在最新月报中表示，将从标的公司是否具有更好性价比的角度出发，优化组合结构，保持组合在市场不同阶段的进攻性,沪深300,http://finance.eastmoney.com/a/202302152636347251.html,http://finance.eastmoney.com/a/202302152636347251.html,
机构策略：重要时间窗口临近 核心布局两个方向,http://finance.eastmoney.com/a/202302222643363385.html,2023-02-22 09:12:56 - ,并且收盘站上3300点，接下来要注意3310附近能否带量突破。创业板指相对低迷，日线收录十字星，短期继续承压144日均线。权重方向上证50、沪深300走势上保持两连阳，但美中不足是成交量有所萎缩。这点对于后市发力有所限制，还是要做好资金态度的追踪。操作策略上，鉴于目前指数仍面临技术压力,沪深300,http://finance.eastmoney.com/a/202302222643363385.html,http://finance.eastmoney.com/a/202302222643363385.html,
“一哥”又易主！两只600亿巨无霸轮流称王,http://stock.eastmoney.com/a/202211242569991967.html,2022-11-24 16:22:28 - ,一方面，自沪深300ETF期权上市以来，沪深300成为了A股衍生品最齐全、投资策略最丰富的指数，沪深300指数有了相互匹配的对标风控工具，风险管理更加精准有效，有了更多的风险管理工具，也有助于吸引更多长期资金入市，同时也使得沪深300指数的受关注度进一步增加。华泰柏瑞沪深300ETF作为上交所指定的沪深300ETF期权合约标的,沪深300,http://stock.eastmoney.com/a/202211242569991967.html,http://stock.eastmoney.com/a/202211242569991967.html,
8幅图 带你了解当下基金投资的正确姿势,http://fund.eastmoney.com/a/202302222643161044.html,2023-02-22 08:27:49 - ,2023年或有期待。 02 股债性价比“极值” 时刻，或是布局好时机。资本市场中周期、趋势的力量，会带来均值回归。历史上，估值性价比，即沪深300收益率减去十年期国债收益率，高于-0.03%时基本对应的是权益市场布局的好时机。数据显示，与当前股债性价比相当时的2006年、2009年、2013年、2016年、2019年、2020年,沪深300,http://fund.eastmoney.com/a/202302222643161044.html,http://fund.eastmoney.com/a/202302222643161044.html,
桂浩明：从中证1000指数走势看市场风格的嬗变,http://finance.eastmoney.com/a/202302182640174663.html,2023-02-18 04:03:03 - ,它与重点表征大盘股走势的沪深300指数以及重点表征中盘股走势的中证500指数一起，构成了综合刻画A股市场表现的关键性指标，具有很强的代表性，是投资者最重要的投资参考数据之一。把中证1000指数的走势与沪深300指数、中证500指数的走势比较，能够清晰地看出市场风格的嬗变。 今年以来，沪深300指数上涨5,沪深300,http://finance.eastmoney.com/a/202302182640174663.html,http://finance.eastmoney.com/a/202302182640174663.html,
2月18日四大证券报精华摘要：全面实行股票发行注册制正式实施 资本市场改革发展再迎里程碑事件,http://finance.eastmoney.com/a/202302182640321428.html,2023-02-18 07:36:11 - ,2月以来，多只基金变更业绩比较基准，使得基金风格特征和投资目标更匹配。记者梳理发现，依旧有一些基金在业绩比较基准的设定上较为随意，明面上对标沪深300、中证800等主流宽基指数，实则押注其他行业主题。 业内人士认为，对于基金经理而言，业绩比较基准可谓投资之“锚”，须设置得更为合理，避免风格漂移,沪深300,http://finance.eastmoney.com/a/202302182640321428.html,http://finance.eastmoney.com/a/202302182640321428.html,
解读“业绩真空期”的财富密码：中小盘成长风格优势显现 如何布局业绩确定性？,http://stock.eastmoney.com/a/202302082630906922.html,2023-02-08 13:53:56 - ,春节消费数据相比去年同期已有较快增长。宏观分析师纷纷上调经济预测，经济动能有望逐季增强。中证500和中证1000等小盘指数的业绩对经济的敏感度要高于沪深300等大盘指数。在经济向好时小公司盈利增速相对更高，未来经济修复更加有利于中证500和中证1000等小盘指数的业绩回升。 其次是分析师一致预期,沪深300,http://stock.eastmoney.com/a/202302082630906922.html,http://stock.eastmoney.com/a/202302082630906922.html,
【17日资金路线图】两市主力资金净流出422亿 医药生物等行业实现净流入,http://stock.eastmoney.com/a/202302172640105715.html,2023-02-17 20:54:34 - ,今日沪深两市主力资金开盘净流出106.91亿元，尾盘净流出46.15亿元，两市全天资金净流出421.66亿元。 2、沪深300主力资金净流出126亿元 沪深300今日主力资金净流出126.29亿元，创业板净流出133.81亿元。沪股通净流入6.26亿元，深股通净流入14.03亿元,沪深300,http://stock.eastmoney.com/a/202302172640105715.html,http://stock.eastmoney.com/a/202302172640105715.html,
主力资金 | 两市资金持续大规模流出 多只权重股遭主力出逃 3行业本周净流出超百亿,http://stock.eastmoney.com/a/202302172640047466.html,2023-02-17 18:47:46 - ,主力资金今日继续大规模流出。 证券时报·数据宝统计，今日沪深两市主力资金净流出421.66亿元，其中创业板净流出133.81亿元，沪深300成份股净流出126.29亿元。 申万一级行业中，今日有9个行业上涨，煤炭和美容护理行业涨幅居前，均涨超1%。22个下跌行业中，4个行业跌超2%,沪深300,http://stock.eastmoney.com/a/202302172640047466.html,http://stock.eastmoney.com/a/202302172640047466.html,
资金流向周报：3个行业资金净流出超百亿元,http://stock.eastmoney.com/a/202302172639954320.html,2023-02-17 17:01:18 - ,创业板指下跌3.76%，沪深300指数下跌1.75%。可交易A股中，上涨的有1213只，占比23.85%，下跌的3822只。 资金面上，本周主力资金合计净流出1328.92亿元。其中，创业板主力资金净流出366.75亿元；科创板主力资金净流出63.15亿元；沪深300成份股主力资金净流出289,沪深300,http://stock.eastmoney.com/a/202302172639954320.html,http://stock.eastmoney.com/a/202302172639954320.html,
主力资金连续4天净流出,http://stock.eastmoney.com/a/202302172639932184.html,2023-02-17 16:41:12 - ,沪深300指数下跌1.44%。可交易A股中，上涨的有1892只，占比37.22%，下跌的2967只。 资金面上，今日主力资金全天净流出404.11亿元，已连续4个交易日资金呈净流出状态。其中，创业板主力资金净流出117.71亿元；科创板主力资金净流出22.82亿元；沪深300成份股主力资金净流出133,沪深300,http://stock.eastmoney.com/a/202302172639932184.html,http://stock.eastmoney.com/a/202302172639932184.html,
数据复盘｜主力减持计算机、电子等行业 北向资金抢筹宁德时代、中国平安等,http://stock.eastmoney.com/a/202302172640021442.html,2023-02-17 17:56:19 - ,资金流向 1.主力资金 统计显示，沪深两市主力资金今日净流出421.66亿元。其中，创业板主力资金净流出133.81亿元，沪深300成分股主力资金净流出126.29亿元，科创板主力资金净流出12.89亿元。 从行业板块来看，申万所属的31个一级行业，今日仅有医药生物、煤炭、石油石化、美容护理4个行业板块主力资金呈现净流入,沪深300,http://stock.eastmoney.com/a/202302172640021442.html,http://stock.eastmoney.com/a/202302172640021442.html,
重磅！七大巨头集体出手！马斯克传闻引爆 4.5万亿资产狂嗨！,http://finance.eastmoney.com/a/202302072629770769.html,2023-02-07 15:03:58 - ,第二周的表现也不好。经过七个交易日的运行，短期向下的趋势似乎正在形成。今天走势一度较强，但碰到趋势上轨立马回调。而沪深300与这个指数的相关性非常高。若A50持续走弱，必然会通过沪深300对整个市场的形成压制。 第三，今天外资又一度净卖出40多亿元。但有一个变化需要高度重视，在这40多亿元里面,沪深300,http://finance.eastmoney.com/a/202302072629770769.html,http://finance.eastmoney.com/a/202302072629770769.html,
重磅会议渐近！两会前两周行情历史复盘 10年间4大行业高胜率,http://finance.eastmoney.com/a/202302172640013014.html,2023-02-17 17:45:06 - ,小盘股常在两会前两周跑赢大盘股，中证1000指数近十年上涨概率近8成，平均涨幅近3.63%，而上证50指数的“胜率”仅四成。此外，创业板指、深证成指也表现较好，而沪深300指数相对不佳。 注：市场主要指数在两会前两周近十年期间表现 不过若分周细分统计这两周的市场风格，两会前一周和倒数第二周期间，各主要指数表现有所不同,沪深300,http://finance.eastmoney.com/a/202302172640013014.html,http://finance.eastmoney.com/a/202302172640013014.html,
天赐良基日报第115期丨量化指增策略业绩回暖；多只云计算相关ETF跌超4%；下周一关注3只新发基金,http://finance.eastmoney.com/a/202302172639877324.html,2023-02-17 15:48:31 - ,基金经理：罗擎 业绩比较基准：沪深300指数收益率*60%+中证港股通综合指数收益率*20%+中证综合债指数收益率*20% 基金经理过往业绩： 3.基金简称：万家元贞量化选股股票 基金类型：股票型 基金经理：乔亮 业绩比较基准：沪深300指数收益率*60%+恒生指数收益率*20%+中债综合指数收益率*20%,沪深300,http://finance.eastmoney.com/a/202302172639877324.html,http://finance.eastmoney.com/a/202302172639877324.html,
20股主力资金净流入超亿元,http://stock.eastmoney.com/a/202302172639936221.html,2023-02-17 16:45:13 - ,沪指2月17日下跌0.77%，主力资金全天净流出404.11亿元，已连续4个交易日资金呈净流出状态。其中，创业板主力资金净流出117.71亿元，沪深300成份股主力资金净流出133.49亿元。 申万所属的一级行业中，今日涨幅居前的行业为煤炭、美容护理，涨幅为1.71%、1.09%。跌幅居前的行业为计算机、通信,沪深300,http://stock.eastmoney.com/a/202302172639936221.html,http://stock.eastmoney.com/a/202302172639936221.html,
基金大佬多空大战！刘晓龙、夏俊杰、林鹏等发声,http://stock.eastmoney.com/a/202302072629679992.html,2023-02-07 12:46:18 - ,市场总体为震荡重心上移而非单边牛市，风格有可能从大盘价值切换到小盘成长，这也再次引发市场对于风格的讨论。 与李蓓一致，博时基金认为，创业板相对沪深300的赚钱效应处于底部，未来一个季度，成长风格相对价值风格将重新占优。 相反，知名投资人林鹏掌舵的和谐汇一资产表示，与往年相比，今年的春季躁动提前启动,沪深300,http://stock.eastmoney.com/a/202302072629679992.html,http://stock.eastmoney.com/a/202302072629679992.html,
每经操盘必知（下午版）丨创业板指跌超2.5% 医药股逆势走强；宁德时代向车企推出“锂矿返利”计划,http://finance.eastmoney.com/a/202302172639870245.html,2023-02-17 15:48:31 - ,报收11715.77点，成交额5584.94亿元；创业板指收盘下跌63.15点，跌幅为2.51%，报收2449.35点，成交额2128.94亿元；沪深300收盘下跌58.98点，跌幅为1.44%，报收4034.51点，成交额2257.38亿元。 个股跌多涨少，两市超2800只个股下跌。沪深两市今日成交额9141亿,沪深300,http://finance.eastmoney.com/a/202302172639870245.html,http://finance.eastmoney.com/a/202302172639870245.html,
高盛看好A股和中概股 明年消费将拉动GDP增长4.5%左右 沪深300或上涨16%,http://finance.eastmoney.com/a/202212012576099184.html,2022-12-01 11:44:25 - ,0%增至明年的4.5%，增长动力主要来自消费。高盛维持中国在明年二季度放开疫情防控的判断。 高盛首席中国股票策略师刘劲津预计到明年年底，沪深300指数将升至4500点，较当前水平有16%的上行空间。板块方面，疫情放松将拉动消费板块，利好旅游、餐饮、娱乐、航空等行业。由于利好政策的出台,沪深300,http://finance.eastmoney.com/a/202212012576099184.html,http://finance.eastmoney.com/a/202212012576099184.html,沪深300
26只ETF公告上市 最高仓位76.67%,http://finance.eastmoney.com/a/202302172639655429.html,2023-02-17 10:31:51 - ,11159683嘉实中证内地运输主题ETF2022.12.294.292022.12.3018.402023.01.09159656万家沪深300成长ETF2022.12.288.862023.01.097.852023.01.16588320广发中证科创创业50增强策略ETF2022,沪深300,http://finance.eastmoney.com/a/202302172639655429.html,http://finance.eastmoney.com/a/202302172639655429.html,
每经操盘必知（午间版）丨创业板指跌1.69%，信创概念股集体调整；北上资金净流入超39亿；马尔代夫免签生效，去哪儿马尔代夫酒店搜索量涨1.2倍,http://finance.eastmoney.com/a/202302172639742458.html,2023-02-17 12:57:19 - ,报收11804.62点，成交额3393.47亿元；创业板指下跌42.43点，跌幅为1.69%，报收2470.07点，成交额1287.27亿元；沪深300下跌19.78点，跌幅为0.48%，报收4073.71点，成交额1260.85亿元。 个股跌多涨少，两市超2500只个股下跌。沪深两市今日成交额5479亿,沪深300,http://finance.eastmoney.com/a/202302172639742458.html,http://finance.eastmoney.com/a/202302172639742458.html,
低调反弹！物管板块的投资逻辑在哪？,http://finance.eastmoney.com/a/202302172639506970.html,2023-02-17 09:30:21 - ,一部分年初以来的涨幅已经超过或接近2022年一年的跌幅。据光大证券统计，今年1月，光大地产AH物管板块指数累计涨跌幅为9.26%，跑赢沪深300指数1.9个百分点，跑输恒生指数1.2个百分点，跑输恒生港股通指数0.1个百分点。 物管行业发源于英国，但这个相对小众的行业在国内市场的发展时间不到40年,沪深300,http://finance.eastmoney.com/a/202302172639506970.html,http://finance.eastmoney.com/a/202302172639506970.html,
博时首席基金经理过钧新产品2月23日发行,http://fund.eastmoney.com/a/202302212642695631.html,2023-02-21 19:23:06 - ,债基指数和偏债混合型基金指数平均年化收益低于偏股混合型基金指数的表现，高于中长期纯债基金指数的表现，与此同时，年化波动率则远低于偏股混合型基金指数，略高于中长期纯债基金指数。 过往数据来看，与沪深300指数相比，混合债券型二级债基指数和偏债混合型基金指数在年化波动率和最大回撤都要优秀很多的情况下，年化收益率甚至更高。以二级债基和偏债混合型基金为例,沪深300,http://fund.eastmoney.com/a/202302212642695631.html,http://fund.eastmoney.com/a/202302212642695631.html,
四大期指21日午盘多数上涨,http://futures.eastmoney.com/a/202302212642350324.html,2023-02-21 12:39:35 - ,2月21日，四大期指午盘多数上涨。文华财经数据显示，截至11:30，沪深300期指主力合约IF2303报4137.8点，持平；上证50期指主力合约IH2303报2804.2点，涨0.37%；中证500期指主力合约IC2303报6336.8点，涨0.22%；中证1000期指主力合约IM2303报6918,沪深300,http://futures.eastmoney.com/a/202302212642350324.html,http://futures.eastmoney.com/a/202302212642350324.html,
沪深300指数换手率创35个月以来新低,http://finance.eastmoney.com/a/202212212594211995.html,2022-12-21 17:47:12 - ,今日(12月21日)，A股市场活跃度继续降温，沪深两市成交金额跌破6000亿元。其中，沪深300指数成交额也再度缩量，截至收盘，其全天成交额达1234.5亿元，创自2020年4月13日(近32个月)以来新低。此外，沪深300指数换手率今日也再度回落至0.23%，创2019年1月10日(近35个月)以来新低,沪深300,http://finance.eastmoney.com/a/202212212594211995.html,http://finance.eastmoney.com/a/202212212594211995.html,沪深300
【期货市场资金流向】20230221,http://futures.eastmoney.com/a/202302212643249250.html,2023-02-21 15:54:52 - ,比 期货板块资金变动(单位亿) 期货市场保证金流入/流出前十名(单位亿) 期货市场活跃度排名前十名(成交量/持仓量) 期货市场30日波动率前十名 相关说明 1、期货板块构成： 股指：沪深300，上证50，中证500。 国债：10年期国债，5年期国债，2年期国债。 有色金属：铝，镍，铅，锡，锌，铜，国际铜。 黑色版块：硅铁,沪深300,http://futures.eastmoney.com/a/202302212643249250.html,http://futures.eastmoney.com/a/202302212643249250.html,
十大券商看后市：A股春季行情尚未走完 内资或接力外资进场,http://finance.eastmoney.com/a/202302062627998823.html,2023-02-06 07:47:27 - ,市场估值虽有所修复但仍有空间，对后续市场演绎不用过于谨慎，2023年市场机会仍大于风险。 不过，考虑到A股自2022年11月以来底部反弹已经持续3个月时间，沪深300等宽基指数的最大反弹幅度已超过20%，因此提醒投资者注意两方面现象：一是市场关注点正在从注重政策变化，边际转为注重基本面的实质修复。二是估值仍有空间,沪深300,http://finance.eastmoney.com/a/202302062627998823.html,http://finance.eastmoney.com/a/202302062627998823.html,
国泰君安去年实现净利同比降23% 投资收益、经纪业务手续费净收入等下滑,http://finance.eastmoney.com/a/202302092632421992.html,2023-02-09 20:03:57 - ,但受证券市场波动等因素影响，投资收益、经纪业务手续费净收入等下滑，公司归属于上市公司所有者的净利润同比下降。 根据统计，2022年，沪深300指数下跌21.63%，中债总净价(总值)指数上涨0.11%；沪深两市股票交易额同比减少12.94%。 自2022年年初以来，资本市场整体波动造成券商业绩表现波动,沪深300,http://finance.eastmoney.com/a/202302092632421992.html,http://finance.eastmoney.com/a/202302092632421992.html,
